id,zipcode,best_season,property_price,sale_scenario_1,profit_scenario_1,sale_scenario_2,profit_scenario_2
9262800171,98001,Fall,252000.0,264600.0,12600.0,0.0,0.0
3353401710,98001,Fall,227950.0,0.0,0.0,250745.0,22795.0
7967200060,98001,Fall,243000.0,255150.0,12150.0,0.0,0.0
5066400483,98001,Fall,249900.0,262395.0,12495.0,0.0,0.0
3353400860,98001,Fall,249900.0,262395.0,12495.0,0.0,0.0
5402100045,98001,Fall,189950.0,0.0,0.0,208945.0,18995.0
5556800260,98001,Fall,230000.0,241500.0,11500.0,0.0,0.0
303000445,98001,Fall,175000.0,0.0,0.0,192500.0,17500.0
3750605349,98001,Fall,210500.0,0.0,0.0,231550.0,21050.0
2721049059,98001,Fall,225000.0,0.0,0.0,247500.0,22500.0
7585000110,98001,Fall,201700.0,0.0,0.0,221870.0,20170.0
1311000600,98001,Fall,250000.0,262500.0,12500.0,0.0,0.0
3751603173,98001,Fall,212500.0,0.0,0.0,233750.0,21250.0
1312200080,98001,Fall,224000.0,0.0,0.0,246400.0,22400.0
1311500020,98001,Fall,198000.0,0.0,0.0,217800.0,19800.0
9262800294,98001,Fall,260000.0,273000.0,13000.0,0.0,0.0
6085000130,98001,Fall,230000.0,241500.0,11500.0,0.0,0.0
2214800630,98001,Fall,239950.0,251947.5,11997.5,0.0,0.0
3751605432,98001,Fall,239950.0,251947.5,11997.5,0.0,0.0
321049090,98001,Fall,254000.0,266700.0,12700.0,0.0,0.0
4012800050,98001,Fall,175000.0,0.0,0.0,192500.0,17500.0
6143600580,98001,Fall,184000.0,0.0,0.0,202400.0,18400.0
4031700210,98001,Fall,220000.0,0.0,0.0,242000.0,22000.0
1311400120,98001,Fall,160000.0,0.0,0.0,176000.0,16000.0
3750605620,98001,Fall,225000.0,0.0,0.0,247500.0,22500.0
1311910300,98001,Fall,260000.0,273000.0,13000.0,0.0,0.0
4463400195,98001,Fall,170000.0,0.0,0.0,187000.0,17000.0
5706600150,98001,Fall,215000.0,0.0,0.0,236500.0,21500.0
5066400564,98001,Fall,199129.0,0.0,0.0,219041.9,19912.899999999994
3750603940,98001,Fall,240000.0,252000.0,12000.0,0.0,0.0
302000375,98001,Fall,250000.0,262500.0,12500.0,0.0,0.0
2730000070,98001,Fall,225000.0,0.0,0.0,247500.0,22500.0
3353402400,98001,Fall,124500.0,0.0,0.0,136950.0,12450.0
3750603471,98001,Fall,239950.0,251947.5,11997.5,0.0,0.0
1311900240,98001,Fall,226500.0,0.0,0.0,249150.0,22650.0
7696610270,98001,Fall,238000.0,249900.0,11900.0,0.0,0.0
1311800560,98001,Fall,209000.0,0.0,0.0,229900.0,20900.0
3751601171,98001,Fall,229500.0,0.0,0.0,252450.0,22950.0
3750605247,98001,Fall,255000.0,267750.0,12750.0,0.0,0.0
7905400160,98001,Fall,246900.0,259245.0,12345.0,0.0,0.0
3750600566,98001,Fall,199950.0,0.0,0.0,219945.0,19995.0
5530000030,98001,Fall,233000.0,244650.0,11650.0,0.0,0.0
2730000270,98001,Fall,178500.0,0.0,0.0,196350.0,17850.0
1311000270,98001,Fall,247000.0,259350.0,12350.0,0.0,0.0
4031000520,98001,Fall,227000.0,0.0,0.0,249700.0,22700.0
8856001090,98001,Fall,185900.0,0.0,0.0,204490.0,18590.0
1311400350,98001,Fall,235000.0,246750.0,11750.0,0.0,0.0
